title,score,genres,consensus
Lady Macbeth,89,Art House & International|Drama,"flashes some surprising toughness beneath its period exterior, bolstered by a mesmerizing -- and unforgiving -- central performance by Florence Pugh."
The Lost City of Z,87,Action & Adventure|Drama,"'s stately pace and visual grandeur hearken back to classic exploration epics, and Charlie Hunnam turns in a masterful performance as its complex protagonist."
The Women's Balcony (Ismach Hatani),95,Art House & International|Comedy|Drama,"With rich characters and a thoughtful approach to timely themes,  tackles complicated subjects with intelligence, compassion, and wit."
Raw,90,Horror,"'s lurid violence and sexuality live up to its title, but they're anchored with an immersive atmosphere and deep symbolism that linger long after the provocative visuals fade."
Wind River,87,,"lures viewers into a character-driven mystery with smart writing, a strong cast, and a skillfully rendered setting that delivers the bitter chill promised by its title."
It,84,,"Well-acted and fiendishly frightening with an emotionally affecting story at its core,  amplifies the horror in Stephen King's classic story without losing touch with its heart."
20th Century Women,88,Comedy|Drama,offers Annette Bening a too-rare opportunity to shine in a leading role -- and marks another assured step forward for writer-director Mike Mills.
Prevenge,95,Art House & International|Comedy|Drama|Science Fiction & Fantasy,"As ambitious as it is daringly transgressive,  should thrill fans of pitch-black horror-comedy -- and open untold opportunities for writer/director/star Alice Lowe."
Guardians of the Galaxy Vol. 2,82,Action & Adventure|Comedy|Science Fiction & Fantasy,"'s action-packed plot, dazzling visuals, and irreverent humor add up to a sequel that's almost as fun -- if not quite as thrillingly fresh -- as its predecessor."
The B-Side: Elsa Dorfman's Portrait Photography,96,Documentary,offers an intriguing glimpse at a distinctive artist's work that's as warmly engaging as its subject.
The Death of Stalin,96,Drama,"finds director/co-writer Arnando Iannucci in riotous form, bringing his scabrous political humor to bear on a chapter in history with painfully timely parallels."
It Comes At Night,89,Drama|Horror,makes lethally effective use of its bare-bones trappings while proving once again that what's left unseen can be just as horrifying as anything on the screen.
A Monster Calls,87,Comedy|Drama|Kids & Family|Science Fiction & Fantasy,deftly balances dark themes and fantastical elements to deliver an engrossing and uncommonly moving entry in the crowded coming-of-age genre.
Step,95,,tells an irresistibly crowd-pleasing story in a thoroughly absorbing way -- and while smartly incorporating a variety of timely themes.
American Made,88,,'s fast-and-loose attitude with its real-life story mirrors the cavalier -- and delightfully watchable -- energy Tom Cruise gives off in the leading role.
John Wick: Chapter 2,89,Action & Adventure|Drama,"does what a sequel should -- which in this case means doubling down on the non-stop, thrillingly choreographed action that made its predecessor so much fun."
God's Own Country,99,,"A quiet, moving rumination on loneliness and newfound intimacy,  marks an outstanding directorial debut for Francis Lee."
A Quiet Passion,92,Drama,"offers a finely detailed portrait of a life whose placid passage may not have been inherently cinematic, but is made more affecting by Cynthia Nixon's strong performance."
Kedi,98,Documentary,"is a cat fancier's dream, but this thoughtful, beautifully filmed look at Istanbul's street feline population offers absorbing viewing for filmgoers of any purr-suasion."
Whose Streets?,99,,"takes a close-up look at the civil unrest that erupted after a shocking act of violence in Ferguson, Missouri - and the decades of simmering tension leading up to it."
The Florida Project,96,,offers a colorfully empathetic look at an underrepresented part of the population that proves absorbing even as it raises sobering questions about modern America.
Truman,100,Art House & International|Comedy|Drama,"Well-written, well-acted, and patiently crafted,  takes an affecting look at a long friendship separated by distance but undimmed by time."
City of Ghosts,99,Documentary,"takes a hard-hitting, ground-level look at atrocities in a part of the world that may seem foreign to many viewers, but whose impact will be no less devastating."
My Life as a Zucchini (Ma vie de courgette),98,Animation|Art House & International|Kids & Family,'s silly title and adorable characters belie a sober story whose colorful visuals delight the senses even as it braves dark emotional depths.
Blade Runner 2049,88,,"Visually stunning and narratively satisfying,  deepens and expands its predecessor's story while standing as an impressive filmmaking achievement in its own right."
The Salesman (Forushande),96,Art House & International|Drama|Mystery & Suspense,"takes an ambitiously complex look at thought-provoking themes, and the well-acted results prove another consistently absorbing entry in writer-director Asghar Farhadi's distinguished filmography."
Logan Lucky,93,,"High-octane fun that's smartly assembled without putting on airs,  marks a welcome end to Steven Soderbergh's retirement -- and proves he hasn't lost his ability to entertain."
War for the Planet of the Apes,93,Action & Adventure|Drama,"combines breathtaking special effects and a powerful, poignant narrative to conclude this rebooted trilogy on a powerful -- and truly blockbuster -- note."
I Am Not Your Negro,98,Documentary,offers an incendiary snapshot of James Baldwin's crucial observations on American race relations -- and a sobering reminder of how far we've yet to go.
Spider-Man: Homecoming,92,Action & Adventure|Drama|Science Fiction & Fantasy,"does whatever a second reboot can, delivering a colorful, fun adventure that fits snugly in the sprawling MCU without getting bogged down in franchise-building."
Hidden Figures,92,Drama,"In heartwarming, crowd-pleasing fashion,  celebrates overlooked -- and crucial -- contributions from a pivotal moment in American history."
Baby Driver,93,Action & Adventure|Comedy|Drama,"Stylish, exciting, and fueled by a killer soundtrack,  hits the road and it's gone -- proving fast-paced action movies can be smartly written without sacrificing thrills."
The Big Sick,98,Comedy|Romance,"Funny, heartfelt, and intelligent,  uses its appealing leads and cross-cultural themes to prove the standard romcom formula still has some fresh angles left to explore."
Dunkirk,92,Action & Adventure|Drama,"serves up emotionally satisfying spectacle, delivered by a writer-director in full command of his craft and brought to life by a gifted ensemble cast that honors the fact-based story."
Logan,93,Action & Adventure|Drama|Science Fiction & Fantasy,"Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions."
Wonder Woman,92,Action & Adventure|Drama|Science Fiction & Fantasy,"Thrilling, earnest, and buoyed by Gal Gadot's charismatic performance, Wonder Woman succeeds in spectacular fashion."
The Lego Batman Movie,91,Action & Adventure|Animation|Comedy|Kids & Family,continues its block-buster franchise's winning streak with another round of dizzyingly funny -- and beautifully animated -- family-friendly mayhem.
